# SPLC Extremist Files
# Format: website,slug
# Generated from https://www.splcenter.org/resources/extremist-files

https://www.splcenter.org/resources/extremist-files,tomislav-sunic
https://www.splcenter.org/resources/extremist-files,tony-perkins
https://www.splcenter.org/resources/extremist-files,traditionalist-worker-party
https://www.splcenter.org/resources/extremist-files,tucker-carlson
https://www.splcenter.org/resources/extremist-files,understanding-threat
https://www.splcenter.org/resources/extremist-files,united-constitutional-patriots
https://www.splcenter.org/resources/extremist-files,vdare
https://www.splcenter.org/resources/extremist-files,veterans-patrol
https://www.splcenter.org/resources/extremist-files,vincent-bertollini
https://www.splcenter.org/resources/extremist-files,vinlanders-social-club
https://www.splcenter.org/resources/extremist-files,virginia-abernethy
https://www.splcenter.org/resources/extremist-files,wayne-lutton
https://www.splcenter.org/resources/extremist-files,westboro-baptist-church
https://www.splcenter.org/resources/extremist-files,white-lives-matter
https://www.splcenter.org/resources/extremist-files,white-nationalist
https://www.splcenter.org/resources/extremist-files,white-revolution
https://www.splcenter.org/resources/extremist-files,william-daniel-johnson
https://www.splcenter.org/resources/extremist-files,william-h-regnery-ii
https://www.splcenter.org/resources/extremist-files,william-pierce
https://www.splcenter.org/resources/extremist-files,william-shockley
https://www.splcenter.org/resources/extremist-files,willis-carto
https://www.splcenter.org/resources/extremist-files,world-congress-families
https://www.splcenter.org/resources/extremist-files,worldnetdaily
